uid,fold
k9tr74qg,2
efqjg02u,1
1g463sdy,1
gfliji18,2
k0axycel,0
os6zle6k,3
whef0vot,1
qtxhi15c,2
qzcuctsu,1
flsehuds,4
3qsqcq30,0
o30ubmc9,1
7c7bo119,3
xp9n56ny,4
xtxmgtt0,0
iaakytt3,1
imj70e3p,0
15ahdbvz,2
b0oih5cs,1
k30lvylk,2
fxhkc856,0
wpr97y2l,1
ofn1r4kz,0
36u8ueih,2
x74d0gjy,1
v5g10ur5,4
l8a78e9r,3
ivh6t1nt,2
mjsrd9q4,1
6nouhfj7,1
upfln4rx,3
yj38xrg2,1
gzr7txcb,2
48y1o4iz,1
asnwywrr,4
atatj9a3,4
y36ddfgs,1
3jonou9i,4
y4x41dnt,2
cagrp2u4,4
dtbh55rb,1
c76ub7l8,0
v1zocfi4,2
o6l1f90s,2
9bp4m18o,0
1bj9rm7p,2
yxdw2zcf,4
zw0ldalm,3
jegqtoam,0
dvlnknd6,0
69ugnekr,0
cpprcjiw,1
vhdk8lw2,3
lm349el8,2
hl88kzru,4
in3oeuvt,0
yt8qzpky,1
32orwixz,1
2c9ros7y,4
t2m6twd1,4
xmxb9yo1,0
8pajssuu,3
qo1vsmad,0
o8e7flqh,3
rrpzlk3e,1
4xyf9igf,0
u8iogxpb,3
whvnzh13,2
cd5glqj5,4
sxvwvm4w,2
3zkwdeek,3
gyspengw,3
yx9trflq,3
bmae38sr,0
yo4rcb1k,0
jtgq01te,2
e13n3bzt,2
9d31k9qm,4
3p91i3vm,3
zwffhhcm,0
ktlzkj49,0
yd82795e,3
5iz31yru,1
joqw5dsk,2
7n8la100,1
qxmcthph,3
j3muurmy,0
bd2qe4pa,3
8hyexf7j,3
xjn6fokz,0
ixzareiy,0
az39pecn,4
0dl5e11e,4
9ftaxp0w,1
foy4dd1v,0
n8lfjdtv,1
v2y4xkss,0
0kb68rer,4
vt997e4u,0
ny181acj,1
bc2swsoz,0
ctwjlsh3,2
tow4ycz0,0
4cdpqvl0,2
0ezzf8s2,4
zge2j51b,0
3jczucqm,1
runjdu0i,0
sb5iqnf7,0
4t60ploz,1
jcns6g29,4
8cqk4lta,1
hukwqvr1,0
h61iaoim,3
458ax40d,2
tirc9zd7,0
6szn9dde,0
3cup8ijl,4
2z0ljch2,2
vffqot8h,2
ljefy3zb,2
4ldimsyj,2
9boq0iq2,3
fa39e3nw,0
xuj3ac6p,2
e63lbqgu,0
3obyghgk,2
5bwikotc,3
keh5sw22,4
92mtr6sn,2
glh62c9t,0
199dxj37,0
c9h42m44,1
gv3z6bz8,2
uug95rlr,3
dihsa7he,3
z74lav71,4
448n7odk,1
ef828xg8,4
y72ivgly,3
e088o98b,4
v78hu7f0,2
i9g5dzx5,1
qjicjdan,4
085rntdr,1
5xyfc4kl,2
8cgn0t6d,3
vwrb7f6f,4
dhgzz0jk,0
ibu4fmpk,1
xvhagkc4,0
lorxdtg5,1
nqjqijc1,1
ydmt8vt4,3
3pt5r5rc,4
6zs62ywe,4
1g983ep9,2
p9w4j66c,0
noljq52w,4
spofv177,4
udktmonr,4
vbjfvyb6,0
li076a3k,3
krzd5e9p,2
3jpxgh30,2
153sflse,1
45bg34iq,0
7zj3sweb,4
nvg5vmf6,4
0yknfu84,2
xyjoa21a,4
6xvaj2k8,4
xpnmjqy3,1
odsx4nxv,0
kdc9x5jz,1
6kf1622v,0
xyzx9jpn,1
bzug0it2,2
6ys445gd,2
ej31gymd,4
m0l2ljk4,4
q5v7c6s5,2
nkb4ehou,0
6qlz2rwg,1
waj1g1r1,4
dwwo8nbh,0
nal3gywi,1
ymenvg3k,0
k0vm59m6,4
mg87oi0e,2
0vgnxb5j,0
tb9xxayp,1
ntrfzwkx,4
xjve3dze,1
edhhjshz,3
kbrh7lay,1
64yfds0d,0
ji9kqdgb,3
k2l0d1b4,0
xgmpw5d3,3
go8jn42x,0
2ezc7fov,4
2ygnmby4,0
9e7eobjl,4
zy1uu9ym,4
szdximyn,4
4u9bxf44,4
5cri8bix,2
oiq2q4qe,2
rxdouadv,4
ei3zrrhf,4
4abufwbu,3
cjg8vuaz,1
xkdq95g3,0
v23gxj0m,4
qvindh4s,0
pfdrwb2s,0
erev361x,4
snbti22n,0
v01zderi,0
4k5ogz2u,1
eaxylnfx,0
j4pnjy1o,1
2rntjlmz,4
04x0qzfh,4
omtzzf8a,1
df7pchcb,1
n9wszv83,4
xphx2kbv,0
sigbiaf9,4
2movs0cd,1
k36m8jvh,1
7ujodck8,4
2853uy8u,3
118qqvae,1
cw9yil8s,2
a3idy3c7,4
rm6j8y6r,0
h05hhiwf,4
d7yxw1tb,1
rwr965r9,0
6khub2rt,3
soyg9zqy,4
ahulwjti,2
qwnrhzn4,1
kgeuidji,0
pnf8f3gr,2
94sz2kuu,2
oyc3rwqm,0
mu7jae58,4
huxg2myr,1
06nkwfg3,4
mwu4cfil,0
kjxjq5nv,1
8oga0x7z,2
cgdc5tao,0
1cjfx5li,1
kwe4bx4l,0
r9tjq8zg,2
vwwusxlm,1
t2pnjka3,1
4mqa78ra,3
pkianouo,3
f0onjpi1,1
63yk03o4,4
gkwwjwga,0
btgdjz0i,3
frml29q2,3
l48c1cqg,2
433e1i1p,4
0bq1s9ry,0
llwb7sjw,1
h55hewlg,3
je2ab2rv,1
ndfdw79w,1
cxz2ei92,4
12pgyme6,4
rpkzggm0,1
j36tcfkj,4
nawnga41,0
izxtnsrt,1
wlxdsc4e,3
5hrdu4xs,2
zjnvc7hr,1
6c2cu7on,1
z3jbck88,0
d0tgsiwg,3
0odwmqx5,2
ggomf9pm,0
l9ln1p0v,4
uh17j8qo,2
09vs9kkh,3
4a3yjtu7,0
fbmenui3,1
do7002g3,3
yu6vk0uc,3
c1m3o55i,3
xva1nkbt,0
fshb0oqv,2
shkoecub,2
ods1eeur,4
xhw0ic1l,1
7dypmlva,1
k9w9pfb3,4
hn14eb87,1
53ayeqah,2
thsjr0fz,3
auxbgk2w,4
bxanj4x5,2
a5xin9dl,0
5tgsq7ai,4
tmofmmwi,3
9s3w563b,4
tkf6xdn8,2
wwiif86l,1
thet25lz,1
se99f77l,2
u8el5015,1
oop767j2,0
dg1wjuii,0
ymyrsvzn,0
4regb1aj,3
o091c795,1
rlqiob0n,1
lw0vs52s,3
q3b9so0u,0
swbkok3q,4
pwbsf3q0,4
e27zeoqg,4
vzhqjy62,2
zeeqnsn2,4
s8nn16ux,3
f5gzpl1q,0
weehwjq4,3
ta5ivroc,1
vitwu3bf,2
xb4y4k7b,0
pgyvyv2g,1
qu7dknnc,1
ptkezjss,4
zwd0w9ry,2
79kvls9m,2
euswrgvz,1
9aawe429,4
omuwahk2,0
lslaym0w,2
bglmy62x,3
rw6tm2o0,4
4k0lthy2,0
5m8kb9w4,0
uov51zlb,3
oriq8hke,2
226parsg,3
70s1f537,3
ye0qzsa7,1
yvdqbsxl,0
ul6lgjlp,3
efjawshm,1
lfzkicwm,2
peqydbpg,3
vv4zwl3z,3
yt91qe37,0
qqyzqii4,4
w6ozx25q,1
brmqg1ve,3
d32lx2to,0
owt9nm3v,2
2p2tixc7,4
urvqt3g8,3
cd31nrxd,1
356wafft,1
ouhylu6k,0
7p9mda9o,1
ekntbz3m,2
55izolnn,3
txrgn74f,4
9yecazrp,0
9dxoq2vp,2
gstqmgvu,2
4isotn9u,0
zeryf099,2
2qc6dr08,3
cw2lbm2q,2
sq0p82kb,4
700ucrgb,1
93wkcs4k,1
ek4aegvf,4
q3jzr25m,2
df7fr91i,3
pwh0mx1e,4
gok01tnz,1
rf5a7qy8,2
yb7w8p74,1
mjdxo100,4
vhmygty3,1
addqhkga,0
d7x48wze,1
4ex6u86z,4
jq7w7jp6,0
1lfc1nlc,3
8jpr7vgr,4
f1hx6zdc,0
ujq6fx7x,1
jz6us7rp,1
422ta83r,2
t8cq1xgb,3
ngz6wmdw,1
0fgzvrct,1
lt4q9bc2,0
be3yqy5f,4
u7bfxq7b,1
zegbl2qg,2
v3dr2h2p,1
39yl9ue4,1
21vmefoz,0
tp7bd4w1,4
aragdx5o,2
31yhxso7,2
vbgr8w2m,1
aietdn1t,4
h1xjg2y8,1
rgybxkpm,0
21b07g2r,3
e6zvlhyl,0
2ld05nhq,0
r6f7qnez,3
w9heyce4,4
qgm5v2ww,3
g84d4r9v,4
4k00ilu6,0
vfua9bq1,0
btr23qiu,3
a08ekxdr,0
kz40aq15,2
o2nqw4c6,1
lbpj8t22,3
c50b8y5d,4
nwnguczh,0
9ier7u8h,2
0imjyjcm,0
rsezytkw,4
2837c6qc,2
6k8djzr5,1
swk8temp,4
xkc5i8xo,1
mxlvz4qk,4
e2gjr81b,3
mqf7zk94,2
yxfiblej,3
gublmntf,0
k7orfqla,0
09lzrk79,1
ufu6py06,4
ftlo4qdb,3
xvh7katq,2
ydshlv76,2
mf4nnkm9,0
5d0p92k3,4
8p6fvdhr,2
59c81do6,2
ouz1egnt,2
b34kuqaa,1
j84rx6pr,4
yiej9c0u,4
u5wryesu,1
4fcl5efj,1
p6mkt7s1,2
gd1t53yk,2
yydu3asn,2
rm6dfhg6,4
w3stt1eq,1
c37rln36,0
v1mzb3i4,0
fieecy2c,0
11bd2sce,3
jcy127h6,3
gmd478mf,0
s0iuduah,1
gk6t9dhs,4
znvp8gmn,4
hie9ede1,1
zublekvl,3
9ptk4gc4,1
ryg9rdpx,2
dfovd79c,0
9mv9e40k,1
zuj2xorv,0
ork1djrw,2
edbcy8ny,3
fwdc112h,3
xrjm4t8b,0
p6nlnqbu,4
4kzrezrd,4
yxyur4so,3
r8wm9lbb,4
4m0a6mdm,2
mmxixv6c,4
kmalq5u6,1
jzv9nou3,0
dyms1mwn,0
pr424tkb,3
9oi0d4dm,2
c2rh2xk2,1
pthowq1g,2
az5uh80q,3
7tw1puws,2
nffykpl3,1
cho3xjvo,4
egi3qupx,4
bfej2xg4,0
8ra4dv56,2
onxd70fe,3
07s387j5,1
ie3lvo0i,4
pfg8pjvr,3
n8lpy857,0
nz3a8v4x,3
7y2itl8n,3
3e54n6o9,0
jd3ih66w,1
51ob537q,0
o4z533zs,4
mv30qabx,3
w2eowlcf,1
s8314y2l,4
r0jy32ho,1
g585i87x,1
w69hzgop,1
jdn8ezp7,4
qyezg52k,4
re4v9kyp,3
ofkjw6ny,1
qaelyyzz,2
0jdcli69,2
78v0bjwk,3
on8uujs7,0
5eltfebe,3
5407k5w1,2
jl6l91f4,1
x2bfibjz,3
p97bmzrr,4
45ed5ggs,1
j6vv8suo,1
c1y5ayyo,3
v84fc3xq,4
8va8x8l0,2
08uhbxlb,3
c8nog85d,3
4f2k1xer,3
p3lyex3s,2
r5rup13w,2
ppbmqiyf,4
rwskp6rf,4
e64skbcb,0
dpdxujjc,1
sexggoc5,3
kvqywj85,0
gg0v5dta,2
egry58vr,2
w9myyoke,0
aea84hxx,0
pw2gkqra,2
ffz8q4vh,0
u4bawz94,2
0vtkrrvw,0
y3rztplc,4
6prr7mza,1
kgmih6mv,2
4xekz83y,1
0224wk0y,1
ehvdo9kh,0
ba5mf36b,4
cpweijmm,3
b5jfysyz,3
7pq4ddv2,2
83bdw56f,3
kps0dxme,2
4po1i3ms,1
dn1mxf1p,2
i2ooq42n,4
bfa37dl9,3
fc1xx6cw,1
zxskoytk,3
06akt7zq,2
ht2xz52o,3
hkbm00e9,4
kdts1fb2,4
vi109dcn,4
wmbxek0q,3
929u6wtv,2
mk2zyzsi,0
lu3ndz3c,0
c5rqnsvs,3
ojrpp7r9,4
3fezez5e,1
hr07n8vo,1
eubfn9kr,2
2fvb66h3,0
rem5puu6,0
2rzv1sqq,4
q5l2xoio,3
t860x5zu,4
2zueugwu,0
bugr6e7g,1
a2iz5p3v,2
ob5apo4l,3
jedgfjdl,2
ogwlacol,4
oln3eh1v,3
r1necqor,3
oi5j8yit,3
2kodwh8n,2
92tp6qaq,1
3k8a7rv4,1
nmwvsb0u,2
koefukpv,3
8lymj1qi,2
9mqvayxa,1
r6yo6z1t,2
2xcb3yym,1
33mg1zaq,1
7qhak7md,0
wkzirnk6,3
zhh3o5ur,3
txuyucec,0
juis2gy9,2
ytjuq7x7,2
b7p9jyqn,3
15ikpqah,0
cua09pci,3
flwdr3vw,1
mjdimbm2,3
71w1wudc,4
bl4ce7pk,4
wcyuknd1,0
ivxan25w,4
m72qlgdv,0
c2guwjp0,1
qi2clp81,2
l51flmna,4
vycs44ph,1
h62myz9v,1
lu8wpfq2,4
bhaiiwi0,2
8l0hg9nc,2
bekgv1bb,4
hg5zmtga,4
46ayn2d7,2
ki3x7995,4
5cf72gnn,0
v9ibwgt2,1
lb25485h,3
cqxcs1xs,1
rqlnzzrj,2
o7vbhh5o,2
l5u7nted,3
qmvqwpqo,1
2lngixmc,0
4sx27dcb,0
om2zkf5b,2
1sa3y5t3,3
7szpf9s9,1
ehwhg0u4,2
3qlx3f2x,0
hdcv4bkt,3
cv1ltwbj,2
9uu2bl7a,3
mkoh109z,2
do0d3fvn,3
v4kfq5dz,0
53x1f8s0,4
x7m2mm4p,4
61nhvcfw,1
r2f5t82d,1
dl7fkndg,3
1jrj5xfe,0
ub4o47en,4
48nysj5y,2
wx0i3a4k,3
focnqdqx,2
6qd0771h,0
ll9rzrkb,0
fqxlbvn7,2
nprb58yj,2
wdcokz5s,4
yj3d6m1f,4
mpryfzmy,3
oa2vcywl,4
9700lfqf,1
5e8osaq3,2
eq8dh9pt,2
fnm88ua3,0
a6s5zxqo,2
mts1egpg,4
vtn4ypkw,0
7493dxwo,2
r17dpubk,4
piqnhqe8,2
6o3z0ani,3
k5j42oi6,3
oafn33vm,1
89i9gx32,3
uew9g6sp,3
d2sw24wj,2
t8hdpwvb,0
z7cn0eqw,3
mi6kti22,3
1xj7wwud,2
qvdk6drn,1
4orac8cy,2
nl63gagu,0
vb99rwtf,4
07gbasf5,3
ehlh07jr,0
8mtk0rso,2
ggy5kov1,1
l28r5p03,1
wvpunwcg,0
bsvk3x8m,3
bgl2mcxn,4
2elalq26,1
unvsdkv5,3
4c6p1llh,4
2r9pegln,4
ukx496k4,2
o67bxcd2,1
0j1oulwo,1
zq48enwb,3
badlypgg,2
6n6975j2,1
d8clw3jg,4
eqe5158o,2
qesux9l0,1
ijkcu5x0,2
hc8cah3g,0
dhvs41lq,1
fs6hn95s,4
2gkfl5xf,2
50i6gbxq,3
j7dpfssb,4
jdx0pkov,3
trpyx8hb,3
bjcdiwzo,0
d05jh2mk,0
v0dszrk6,0
ilcg6far,3
mgjcy4v8,3
urid3u94,3
sgfdk0q0,0
9jrnamz6,1
146vey0a,2
94xfri09,0
m0g8w85y,1
6q8sjy5o,3
p9lbsmwp,4
q82k8ryq,4
f8wxkk2a,4
bkvblpxa,0
jmk4x1fd,3
j9hvchrm,0
3wp8djkl,0
uyluyhet,2
kduwtn5p,0
epl7zqpp,0
oau8p1wk,0
isetuk1o,1
oa35qbb3,3
xmdkrlc0,3
y0bhf0ri,0
y4kl9ary,0
eavedhr3,2
pceo934t,3
3y4wpwg3,0
xg0trky8,4
ryozdppb,4
quakx6wb,0
68q0j9m4,3
smzocxmz,2
mz2k1ko6,1
xnqxu71s,0
el8mwob4,0
fdd7r193,3
0i6g61pc,0
we4c1v47,0
lzn9uhjp,0
khf33guw,0
yh36motc,3
g06xr3ur,2
mwuecpnc,3
c2keivli,4
77jzc58c,3
u47soczd,3
q7jbmjm1,1
ft07x5ic,4
86z1b98v,3
wct8jbbs,2
xpk48ab1,2
3t4y0tb1,2
zppep69n,4
gpcivi05,0
2u9az3ce,4
gbmxikvr,3
ecjtr0m6,4
hz72kxsj,2
zsb6zwkh,3
e9i0hn3f,0
9zxqerbk,1
n3dkvr5n,4
bhgpbktm,2
av6763v1,0
m3pp00cd,2
nzy47quu,1
sfn07ea2,4
8ditmown,1
x23veulj,2
gqpq8r4h,2
c7jvlcg1,0
j5ewfwbe,0
by4ubzcz,3
jjy4mzvm,3
cpsiln3o,4
x5fl2mox,2
q9wfb76a,4
v3s2sumh,3
3b0n9cc7,1
isutp04s,1
brspj4ki,4
i1nq0ei0,3
5nms6xvq,3
pu3et1ov,0
ejklcp9u,1
w165aejt,3
70ebpy9e,4
576mouze,3
66vw9b0m,1
qoq4kreg,4
167d6vnx,3
npsv8dkm,2
u6u4pllg,0
f309hsuw,1
dkejp5k7,3
917xfh41,3
a68t2a3a,1
h7u0s3kd,4
z4ppj590,1
emc20lsj,3
ws1zl7p7,0
2l4x5bwa,1
en7yjf30,1
kh5840ac,4
uhgpjnvw,3
rxgkikr2,0
omrde51k,0
8lxeqlez,3
z1r2roik,2
s62c1jlo,3
po6j0m3l,3
oufhw8wl,2
va02dz61,1
txsnhft4,1
i26lh07b,2
a7dorfki,3
1ije2xe0,1
jdcz1oa3,2
vf02gvll,1
sajhjxqk,4
d8ur6tia,3
rontdi9o,1
inuxl39d,3
g5rifwr0,0
ui1jlmfl,3
uoay12tl,2
xlzs49cd,3
zn1f0fp8,3
bpg2r0to,0
kpk7yswn,0
xfshwzsj,4
q77z4es3,0
aofc9lgy,0
tlcqfmui,2
w7j35vlw,4
ojtxcf0k,1
jd2v1l1v,1
j35yrg29,4
d2ff5l6b,3
spxlseun,1
nrlst548,1
84z4ur2y,2
upmanqy0,4
hu97ng0a,1
psaldnj7,4
vbjrbzjw,4
83579wrr,3
513bb6f0,0
5ep4cwcd,2
t9gwa44l,0
z6v7s7o4,4
yc3s0dpj,2
hsg04ajm,4
muzuqed0,1
gv812hnc,3
0i4x6g1e,1
bzgflig5,2
gkzjrumx,1
qw3b4nth,2
zm32hzs3,1
2d1jqbex,2
gfvnnvbz,0
w5apmxd6,2
lqga3qup,0
o4jnmyk8,3
516sp18o,1
bs7587h9,0
1el88l12,4
qfaf5kci,0
hdiy4nrm,3
qyz6y3z1,3
de1e1630,3
pocr0vhv,1
1nm3v16x,0
eghpmxpk,2
n3b8pfy4,3
qcyd52al,1
unqr8o1k,1
jwv2qnrm,0
tn29tnyf,0
m7vh30qb,2
kern6yjm,4
k3tgmalw,0
vmb0idd0,3
wpj8yi34,3
0sqcnf9w,3
5n9c70pa,2
8jx54peg,3
jks4i2nr,0
1p02jyv6,4
yjoaoejv,2
9lhalckz,1
3vwlo7am,3
mpq0hzyj,1
b48wumh9,1
nklybwgm,0
p9a9uri7,1
ev4dh9ug,0
f10oo1pv,3
lnd581lt,1
o4rq3q7g,0
ktmqg6nx,2
9owwew9v,2
08liuqdn,3
05xt54fn,4
5g77lk6h,1
qiv929se,1
vl7fq8ab,2
y595cpjz,2
e1xtar0k,2
o31nzsxp,2
efj31ego,0
m62hdxc6,3
rijkq2zu,4
v1fkhnnk,1
8fwrpk0z,3
fknwbhkv,2
jz09owgm,0
f4ln5rgs,1
g6a8mlik,1
22xmq664,3
42sihxod,4
lctt058c,3
uij0yxiy,4
qbvtdg3c,2
6scivuqt,2
2lwhedht,4
hruu5e51,1
h3wqa1vr,4
gss8k5ij,4
ulp98rl9,1
qfcpk7pw,2
tg21hslt,1
dkvuff12,4
4vf89x22,3
j7q4kfmm,3
0qpop1o8,1
m291azhz,4
knl2luhh,3
s4dilrzq,2
8bxy6rkv,4
ndxjn7de,4
0l1offkh,2
diu1jtka,2
1c2zl46q,2
5gqqlyzj,2
0aeoorbt,3
6sapbs22,0
ruw0u92t,0
24d7v911,0
pjq50xcx,3
msy3paua,4
3aipjiyl,3
qx1um55f,4
1hgav42t,0
8llihkpj,4
7hme6p4n,0
p00nqohn,2
3dg60e1e,3
rv0lg92m,1
jeqa2o4m,2
84p4k9dx,0
oq8jxlfi,4
uefz1c25,3
xnofg780,0
3g5dfrlw,0
6jl2l5b5,2
6bnvsfa6,0
d9er94te,2
vwlq6exn,3
wzr04hhe,0
7icdo5di,2
gxl9ysu5,4
1epxu7b6,2
nbhgfb2f,3
lurmw3uq,0
hwtek17m,1
6j3rtxym,1
scnx8eiq,0
etk5lp9c,4
5so79h4h,0
a0mvf4s2,0
ni8tndfw,0
w41f7v4k,0
88k686qe,3
7ajul7w8,3
cof3138i,2
2xog4c8j,2
6e07fpy1,4
aeldwqxk,0
e0qc96mj,1
9n6eqv5y,0
21id9vvn,3
5x48pw5k,1
0jjsp49c,3
d3irvxd2,2
zu4ns7nv,4
v28ue1my,3
6po0m24u,0
s73w1yau,0
a8d7204j,0
3m9iqbq9,3
j2h1tlom,2
344mw04i,4
3dzxlrgn,4
jzm3618l,3
eu6zu1to,0
zhdv5ojz,4
to7d835k,2
uc9pbtyj,3
r39iixha,2
iaw4otuo,3
4uw590z9,0
2jn67lm8,4
e49ite92,1
srl3vzzx,4
t9qubwrp,4
8guucm5f,1
yczu80zr,2
z79hqtyl,2
u58ftyla,3
vzme9wt0,2
0iv1ggxr,1
ed8u8noz,1
emdmz5rg,4
oi9wm1sa,0
v9cng8ta,3
na6u48gw,3
ghm56vu6,4
z5gf3bbt,4
873lkmgs,2
6rv9777t,1
nqetmni3,1
gom6736z,1
4dsxlsut,1
othlqh7p,4
pcaduvl9,2
11zsb8lv,3
6tx0tbkg,0
8b350sgn,0
z6d86zch,3
hxa7hy7a,1
i33993n4,3
bfiy5pu5,3
wh50jyoo,4
k63rvwoz,1
qxiwe6rg,2
l7jy7otk,2
ude358tr,3
e9qdi3g1,4
3iwpfvb7,2
1ghlu8m8,3
7mhxofkc,4
ggxp5cit,0
uf8cyotw,1
g7nfdinu,3
31eiwucx,3
67xkwq0y,4
wm9q7ftm,0
fwg895na,3
2fqztio4,1
m7pp0pnn,0
lo0hhgh5,0
xw6t1oxh,3
fdxk31wb,4
htfnsgpy,1
8257ge0q,1
uz2z0kdn,3
upcj8mo7,2
65efuxq9,2
njc2goui,4
fezac2ex,3
va5e742g,4
rrdnwt2f,1
es5cs9ui,1
14nijcp5,0
2ay7ov50,2
ew25x1fv,2
k1pbcd6f,3
xnoq37kt,2
ll8sn5yz,0
7vxuqdrm,4
swjjjksl,3
66uml3so,0
jpx16f1k,2
yntl2ug0,2
5wh23gxr,4
irjutfvj,3
839ag77q,4
9vjuhbp9,4
vrnegn2b,3
4jtj27yh,3
6uamwjpi,1
wujt4ftl,4
h33hw8d0,3
9jrd4hqf,0
ghdiluvn,1
hdczp0nw,3
ntj5r2sl,1
rw4vnzvz,0
n2hloiki,3
vqa7izq2,2
nmnr06dj,2
in9rg4xv,1
349n1d6d,0
zbc7qk4k,2
6ilsidbx,2
287gt76i,4
3hzcd3ge,1
q10f7ia4,2
1sascebf,0
e54ukigd,4
ix1cnaq2,2
yotos87m,2
vz01sosr,2
2hvnkvon,4
nlhapwf5,3
20xkiaip,3
rqq5qob8,2
67kbqnxp,3
vmsr75rm,3
g7f9fzja,2
hsao2qwk,3
bsepr1b2,3
0uc87nxp,3
0jf6dnob,2
k8hup3ft,2
j6ac4jrc,3
q97rcq6w,3
948ju63l,4
xsy4vy32,4
i3pj7k99,3
bv2j3t4h,4
8qfdtn0p,2
lcfr7cl6,1
p3frb7ei,0
5r8vo4kv,4
fflncc2a,0
trd83x9a,3
ge9ny3mu,0
b6lbu9w3,4
ggo9dvws,4
3kcvjxzd,1
vyb4xz3m,2
