uid,label,cluster,sev,global_tercile,group
szdximyn,1,7,3.3072,2,1
4u9bxf44,1,7,3.1235,2,1
5cri8bix,0,7,3.3623,-1,0
oiq2q4qe,1,7,2.9013,1,2
rxdouadv,1,7,3.5125,2,1
ei3zrrhf,1,1,3.0708,2,2
4abufwbu,1,1,3.8375,2,1
cjg8vuaz,1,1,2.5482,0,0
xkdq95g3,1,1,2.8019,1,0
v23gxj0m,1,1,3.2215,2,2
qvindh4s,0,1,3.9449,-1,1
pfdrwb2s,0,1,3.4363,-1,0
erev361x,0,1,3.337,-1,2
snbti22n,1,1,3.0762,2,2
v01zderi,1,1,2.3883,0,0
4k5ogz2u,1,1,1.5194,0,0
eaxylnfx,0,1,3.2409,-1,0
j4pnjy1o,1,1,2.7344,1,0
2rntjlmz,1,1,3.2067,2,2
04x0qzfh,0,1,3.4207,-1,2
omtzzf8a,1,1,3.508,2,1
df7pchcb,1,1,2.5832,0,0
n9wszv83,1,1,3.0716,2,2
xphx2kbv,0,1,3.7557,-1,0
sigbiaf9,1,1,3.3243,2,2
2movs0cd,1,1,2.7822,1,0
k36m8jvh,1,1,2.6922,1,0
7ujodck8,1,1,3.5231,2,1
2853uy8u,0,1,2.9443,-1,2
118qqvae,1,1,2.159,0,0
cw9yil8s,1,1,2.5533,0,0
a3idy3c7,0,1,3.3577,-1,2
rm6j8y6r,0,1,3.0131,-1,2
h05hhiwf,0,1,3.4441,-1,1
d7yxw1tb,1,1,2.7605,1,0
rwr965r9,1,1,3.3143,2,2
6khub2rt,0,1,3.6447,-1,0
soyg9zqy,1,1,2.6452,0,0
ahulwjti,0,1,3.4804,-1,1
qwnrhzn4,1,1,2.824,1,0
kgeuidji,1,1,2.6626,1,0
pnf8f3gr,1,1,3.3185,2,2
94sz2kuu,1,1,3.3532,2,1
oyc3rwqm,1,1,2.6455,0,0
mu7jae58,1,1,3.1067,2,2
huxg2myr,0,1,3.4337,-1,2
06nkwfg3,0,1,2.93,-1,0
mwu4cfil,1,1,2.8588,1,2
kjxjq5nv,1,1,2.8102,1,0
8oga0x7z,1,1,2.6055,0,0
cgdc5tao,1,1,2.6726,1,0
1cjfx5li,0,1,3.4798,-1,0
kwe4bx4l,1,1,2.4811,0,0
r9tjq8zg,1,1,2.7919,1,0
vwwusxlm,0,1,2.7501,-1,1
t2pnjka3,1,1,3.0694,2,2
4mqa78ra,1,1,3.8637,2,1
pkianouo,0,1,3.6193,-1,2
f0onjpi1,1,1,3.5818,2,1
63yk03o4,1,1,3.352,2,2
gkwwjwga,0,1,3.9843,-1,0
btgdjz0i,0,1,2.9723,-1,2
frml29q2,1,1,3.0227,1,2
l48c1cqg,0,1,4.0099,-1,1
433e1i1p,1,1,2.6997,1,0
0bq1s9ry,1,1,3.0348,2,2
llwb7sjw,0,1,3.5708,-1,1
h55hewlg,1,1,2.4298,0,0
je2ab2rv,1,1,2.5473,0,0
ndfdw79w,1,1,3.2476,2,2
cxz2ei92,1,1,4.0318,2,1
12pgyme6,1,1,2.258,0,0
rpkzggm0,1,1,2.2604,0,0
j36tcfkj,1,1,2.4384,0,0
nawnga41,1,1,2.7451,1,0
izxtnsrt,1,1,2.931,1,2
wlxdsc4e,1,1,3.5948,2,1
5hrdu4xs,1,1,3.1962,2,2
zjnvc7hr,1,1,1.9892,0,0
6c2cu7on,1,1,3.5671,2,1
z3jbck88,1,1,3.7165,2,1
d0tgsiwg,1,1,1.7696,0,0
0odwmqx5,1,1,3.6393,2,1
ggomf9pm,1,1,2.558,0,0
l9ln1p0v,1,1,2.5453,0,0
uh17j8qo,0,1,3.4941,-1,2
09vs9kkh,1,1,3.3243,2,2
4a3yjtu7,1,1,2.1325,0,0
fbmenui3,1,1,3.1502,2,2
do7002g3,1,1,3.5941,2,1
yu6vk0uc,1,1,3.6086,2,1
c1m3o55i,1,1,3.0219,1,2
xva1nkbt,1,1,3.6533,2,1
fshb0oqv,1,1,2.9917,1,2
shkoecub,1,1,2.2193,0,0
ods1eeur,1,1,3.3505,2,2
xhw0ic1l,1,1,3.0414,2,2
7dypmlva,1,1,2.8052,1,0
k9w9pfb3,0,1,4.5337,-1,0
hn14eb87,1,1,2.3239,0,0
53ayeqah,1,1,2.9379,1,2
thsjr0fz,1,1,2.7507,1,0
auxbgk2w,1,1,3.7457,2,1
bxanj4x5,1,1,3.0331,1,2
a5xin9dl,1,1,2.4947,0,0
5tgsq7ai,1,1,3.0805,2,2
tmofmmwi,0,1,3.3188,-1,2
9s3w563b,1,1,2.2673,0,0
tkf6xdn8,1,1,2.7441,1,0
wwiif86l,1,1,2.2661,0,0
thet25lz,1,1,2.9014,1,2
se99f77l,0,1,3.3909,-1,2
u8el5015,1,1,3.3791,2,1
oop767j2,1,1,3.1933,2,2
dg1wjuii,1,1,3.4091,2,1
ymyrsvzn,1,1,2.4303,0,0
4regb1aj,1,1,3.5165,2,1
o091c795,1,1,2.2743,0,0
rlqiob0n,1,1,3.6633,2,1
lw0vs52s,1,1,3.1638,2,2
q3b9so0u,1,1,3.8426,2,1
swbkok3q,1,1,3.0848,2,2
pwbsf3q0,1,1,2.2592,0,0
e27zeoqg,1,1,3.3578,2,1
vzhqjy62,1,1,3.5869,2,1
zeeqnsn2,1,1,2.1289,0,0
s8nn16ux,0,1,3.4158,-1,0
f5gzpl1q,0,1,3.0678,-1,1
weehwjq4,1,1,3.4581,2,1
ta5ivroc,1,1,2.7888,1,0
vitwu3bf,1,1,2.6386,0,0
xb4y4k7b,0,1,3.4123,-1,0
pgyvyv2g,1,1,3.1322,2,2
qu7dknnc,0,1,3.6987,-1,2
ptkezjss,0,1,3.5431,-1,1
zwd0w9ry,0,1,3.6741,-1,1
79kvls9m,0,1,3.591,-1,0
euswrgvz,0,1,3.6598,-1,0
9aawe429,0,1,3.6854,-1,1
omuwahk2,1,1,3.2847,2,2
lslaym0w,1,1,2.7418,1,0
bglmy62x,0,1,3.116,-1,1
rw6tm2o0,1,1,2.7867,1,0
4k0lthy2,1,1,2.8135,1,0
5m8kb9w4,1,1,3.3146,2,2
uov51zlb,1,1,2.3949,0,0
oriq8hke,1,1,2.7075,1,0
226parsg,0,1,3.7797,-1,0
70s1f537,0,1,3.4221,-1,1
ye0qzsa7,0,1,4.0951,-1,0
yvdqbsxl,1,1,2.8482,1,2
ul6lgjlp,1,1,3.3484,2,2
efjawshm,0,1,3.3739,-1,1
lfzkicwm,0,1,3.5376,-1,0
peqydbpg,1,1,2.8392,1,2
vv4zwl3z,0,1,3.853,-1,0
yt91qe37,0,1,3.4107,-1,2
qqyzqii4,0,1,3.619,-1,1
w6ozx25q,1,1,2.767,1,0
brmqg1ve,1,1,2.7415,1,0
d32lx2to,0,1,3.374,-1,0
owt9nm3v,1,1,3.0082,1,2
2p2tixc7,1,1,3.3934,2,1
urvqt3g8,1,1,3.0056,1,2
cd31nrxd,0,1,2.5027,-1,2
356wafft,0,1,3.7045,-1,1
ouhylu6k,1,1,3.4979,2,1
7p9mda9o,0,1,4.1242,-1,0
ekntbz3m,1,1,2.6201,0,0
55izolnn,1,1,2.3405,0,0
txrgn74f,1,1,2.8283,1,2
9yecazrp,0,1,3.3664,-1,2
9dxoq2vp,1,1,2.6643,1,0
gstqmgvu,1,1,2.9116,1,2
4isotn9u,0,1,3.0972,-1,2
zeryf099,1,1,2.8943,1,2
2qc6dr08,1,1,1.6389,0,0
cw2lbm2q,1,1,2.9149,1,2
sq0p82kb,1,1,2.7266,1,0
700ucrgb,0,1,3.7327,-1,2
93wkcs4k,0,1,3.5153,-1,2
ek4aegvf,0,1,3.2911,-1,2
q3jzr25m,1,1,2.854,1,2
df7fr91i,1,1,3.6641,2,1
pwh0mx1e,0,1,3.3103,-1,1
gok01tnz,1,1,2.7664,1,0
rf5a7qy8,1,1,3.0118,1,2
yb7w8p74,1,1,2.7615,1,0
mjdxo100,0,1,3.0929,-1,0
vhmygty3,1,1,2.7231,1,0
addqhkga,1,1,2.4467,0,0
d7x48wze,0,1,3.7882,-1,2
4ex6u86z,1,1,3.3137,2,2
jq7w7jp6,1,1,2.1295,0,0
1lfc1nlc,0,1,4.0869,-1,2
8jpr7vgr,1,1,3.4613,2,1
f1hx6zdc,1,1,2.0769,0,0
ujq6fx7x,1,1,3.4877,2,1
jz6us7rp,1,1,2.9786,1,2
422ta83r,0,1,3.8529,-1,1
t8cq1xgb,1,2,2.6389,0,2
ngz6wmdw,1,2,2.3699,0,0
0fgzvrct,1,2,2.8143,1,1
lt4q9bc2,1,2,2.4199,0,0
be3yqy5f,1,2,2.7007,1,2
u7bfxq7b,1,2,3.4458,2,1
zegbl2qg,1,2,2.8223,1,1
v3dr2h2p,0,2,2.7965,-1,2
39yl9ue4,0,2,2.6419,-1,0
21vmefoz,1,2,2.3901,0,0
tp7bd4w1,1,2,3.0509,2,1
aragdx5o,1,2,2.6863,1,2
31yhxso7,1,2,2.8915,1,1
vbgr8w2m,1,2,2.8889,1,1
aietdn1t,1,2,2.722,1,2
h1xjg2y8,1,2,2.8472,1,1
rgybxkpm,0,2,3.3714,-1,1
21b07g2r,1,2,3.0899,2,1
e6zvlhyl,0,2,3.0302,-1,0
2ld05nhq,1,2,2.5536,0,2
r6f7qnez,0,2,3.4447,-1,0
w9heyce4,1,2,2.9309,1,1
qgm5v2ww,0,2,2.9516,-1,1
g84d4r9v,0,2,3.1327,-1,2
4k00ilu6,0,2,3.189,-1,2
vfua9bq1,1,2,2.7048,1,2
btr23qiu,1,2,2.5512,0,2
a08ekxdr,1,2,2.1206,0,0
kz40aq15,0,2,3.2437,-1,2
o2nqw4c6,0,2,3.2664,-1,1
lbpj8t22,0,2,3.0507,-1,2
c50b8y5d,0,2,2.3971,-1,2
nwnguczh,1,2,2.9132,1,1
9ier7u8h,1,2,2.6394,0,2
0imjyjcm,1,2,3.1924,2,1
rsezytkw,1,2,2.7692,1,2
2837c6qc,1,2,2.6377,0,2
6k8djzr5,1,2,2.92,1,1
swk8temp,0,2,2.7628,-1,2
xkc5i8xo,0,2,3.0453,-1,2
mxlvz4qk,1,2,2.6143,0,2
e2gjr81b,0,2,3.0096,-1,2
mqf7zk94,0,2,2.7387,-1,2
yxfiblej,0,2,3.2263,-1,2
gublmntf,0,2,2.5972,-1,0
k7orfqla,1,2,2.3961,0,0
09lzrk79,0,2,3.1946,-1,0
ufu6py06,1,2,2.7662,1,2
ftlo4qdb,1,2,1.9294,0,0
xvh7katq,0,2,3.5126,-1,2
ydshlv76,1,2,2.5748,0,2
mf4nnkm9,1,2,2.7712,1,2
5d0p92k3,1,2,2.9181,1,1
8p6fvdhr,0,2,2.8001,-1,0
59c81do6,1,2,2.4586,0,0
ouz1egnt,1,2,2.4704,0,0
b34kuqaa,1,2,3.2872,2,1
j84rx6pr,1,2,3.012,1,1
yiej9c0u,0,2,3.0302,-1,2
u5wryesu,1,2,2.7438,1,2
4fcl5efj,1,2,2.3718,0,0
p6mkt7s1,1,2,2.5139,0,2
gd1t53yk,1,2,2.4709,0,0
yydu3asn,0,2,3.0842,-1,1
rm6dfhg6,1,2,2.8884,1,1
w3stt1eq,0,2,2.8975,-1,0
c37rln36,1,2,2.3148,0,0
v1mzb3i4,0,2,3.0148,-1,0
fieecy2c,0,2,2.9103,-1,2
11bd2sce,1,2,2.8866,1,1
jcy127h6,1,2,2.2426,0,0
gmd478mf,1,2,2.4442,0,0
s0iuduah,1,2,3.4306,2,1
gk6t9dhs,1,2,2.5106,0,0
znvp8gmn,1,2,2.6747,1,2
hie9ede1,0,2,3.2693,-1,1
zublekvl,0,2,2.785,-1,0
9ptk4gc4,0,2,3.4338,-1,0
ryg9rdpx,1,2,2.6114,0,2
dfovd79c,1,2,3.0606,2,1
9mv9e40k,0,2,3.1764,-1,1
zuj2xorv,1,2,2.7746,1,1
ork1djrw,0,2,2.7797,-1,0
edbcy8ny,1,2,2.3683,0,0
fwdc112h,0,2,2.8419,-1,1
